tableName,fieldName,type,isRequired,primaryKey,emptyIsNa
attrition,database_id,VARCHAR(255),Yes,Yes,Yes
attrition,exposure_id,INTEGER,Yes,Yes,Yes
attrition,target_id,INTEGER,Yes,Yes,Yes
attrition,comparator_id,INTEGER,Yes,Yes,Yes
attrition,outcome_id,INTEGER,No,Yes,No
attrition,analysis_id,INTEGER,Yes,Yes,Yes
attrition,sequence_number,INTEGER,Yes,Yes,Yes
attrition,description,VARCHAR(255),Yes,No,Yes
attrition,subjects,INTEGER,Yes,No,Yes
cm_follow_up_dist,target_id,INTEGER,Yes,Yes,Yes
cm_follow_up_dist,comparator_id,INTEGER,Yes,Yes,Yes
cm_follow_up_dist,outcome_id,INTEGER,Yes,Yes,Yes
cm_follow_up_dist,analysis_id,INTEGER,Yes,Yes,Yes
cm_follow_up_dist,target_min_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,target_p10_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,target_p25_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,target_median_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,target_p75_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,target_p90_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,target_max_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,comparator_min_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,comparator_p10_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,comparator_p25_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,comparator_median_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,comparator_p75_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,comparator_p90_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,comparator_max_days,INTEGER,Yes,No,Yes
cm_follow_up_dist,database_id,VARCHAR(255),Yes,Yes,Yes
cohort_method_analysis,analysis_id,INTEGER,Yes,Yes,Yes
cohort_method_analysis,description,VARCHAR(255),Yes,No,Yes
cohort_method_analysis,definition,TEXT,Yes,No,Yes
cohort_method_result,target_id,INTEGER,Yes,Yes,Yes
cohort_method_result,comparator_id,INTEGER,Yes,Yes,Yes
cohort_method_result,outcome_id,INTEGER,Yes,Yes,Yes
cohort_method_result,analysis_id,INTEGER,Yes,Yes,Yes
cohort_method_result,rr,BIGINT,Yes,No,Yes
cohort_method_result,ci_95_lb,INTEGER,Yes,No,Yes
cohort_method_result,ci_95_ub,BIGINT,Yes,No,Yes
cohort_method_result,p,INTEGER,Yes,No,Yes
cohort_method_result,tau,NUMERIC,No,No,Yes
cohort_method_result,log_rr,INTEGER,Yes,No,Yes
cohort_method_result,se_log_rr,INTEGER,Yes,No,Yes
cohort_method_result,target_subjects,INTEGER,Yes,No,Yes
cohort_method_result,comparator_subjects,INTEGER,Yes,No,Yes
cohort_method_result,target_days,INTEGER,Yes,No,Yes
cohort_method_result,comparator_days,INTEGER,Yes,No,Yes
cohort_method_result,target_outcomes,INTEGER,Yes,No,Yes
cohort_method_result,comparator_outcomes,INTEGER,Yes,No,Yes
cohort_method_result,calibrated_p,INTEGER,No,No,Yes
cohort_method_result,calibrated_rr,BIGINT,No,No,Yes
cohort_method_result,calibrated_ci_95_lb,INTEGER,No,No,Yes
cohort_method_result,calibrated_ci_95_ub,BIGINT,No,No,Yes
cohort_method_result,calibrated_log_rr,INTEGER,No,No,Yes
cohort_method_result,calibrated_se_log_rr,INTEGER,No,No,Yes
cohort_method_result,database_id,VARCHAR(255),Yes,Yes,Yes
comparison_summary,target_id,INTEGER,Yes,Yes,Yes
comparison_summary,comparator_id,INTEGER,Yes,Yes,Yes
comparison_summary,min_date,INTEGER,Yes,No,Yes
comparison_summary,max_date,INTEGER,Yes,No,Yes
comparison_summary,database_id,VARCHAR(255),Yes,Yes,Yes
covariate,covariate_id,BIGINT,Yes,Yes,Yes
covariate,covariate_name,TEXT,Yes,No,Yes
covariate,covariate_analysis_id,INTEGER,Yes,No,Yes
covariate,database_id,VARCHAR(255),Yes,Yes,Yes
covariate_analysis,covariate_analysis_id,INTEGER,Yes,Yes,Yes
covariate_analysis,covariate_analysis_name,VARCHAR(255),Yes,No,Yes
covariate_analysis,analysis_id,INTEGER,Yes,No,Yes
covariate_balance,database_id,VARCHAR(255),Yes,Yes,Yes
covariate_balance,target_id,INTEGER,Yes,Yes,Yes
covariate_balance,comparator_id,INTEGER,Yes,Yes,Yes
covariate_balance,outcome_id,INTEGER,No,Yes,No
covariate_balance,analysis_id,INTEGER,Yes,Yes,Yes
covariate_balance,interaction_covariate_id,VARCHAR(1),No,No,Yes
covariate_balance,covariate_id,BIGINT,Yes,No,Yes
covariate_balance,target_mean_before,NUMERIC,Yes,No,Yes
covariate_balance,comparator_mean_before,NUMERIC,Yes,No,Yes
covariate_balance,std_diff_before,NUMERIC,Yes,No,Yes
covariate_balance,target_mean_after,NUMERIC,Yes,No,Yes
covariate_balance,comparator_mean_after,INTEGER,Yes,No,Yes
